tax	ENRbarcode1	ENRbarcode2	ENRbarcode3	ENRbarcode4	NORMbarcode1	NORMbarcode2	NORMbarcode3	NORMbarcode4	total
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Mogibacterium;Mogibacterium diversum	0	0	0	2	0	0	0	6	8
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter johnsonii	0	0	0	0	4	0	3	1	8
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Pleurocapsales;Dermocarpellaceae;Stanieria;Stanieria cyanosphaera	0	0	0	0	0	8	0	0	8
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus pyogenes	0	4	0	0	0	2	0	1	7
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Olleya;Olleya sp. Bg11-27	0	0	0	0	0	0	1	6	7
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Lutibacter;Lutibacter sp. A80	0	0	0	2	0	0	0	5	7
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola coprophilus	0	0	0	0	0	1	0	6	7
Bacteria;Bacteria_none;Cyanobacteriota;Cyanophyceae;Pseudanabaenales;Thermosynechococcaceae;Thermosynechococcus;Thermosynechococcus sp. HN-54	0	0	0	0	0	7	0	0	7
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Cytobacillus;Cytobacillus kochii	0	0	0	0	0	7	0	0	7
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus gordonii	1	0	0	0	3	0	0	3	7
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis	0	0	0	0	0	7	0	0	7
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sp. oral taxon 061	0	0	0	0	1	0	0	5	6
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus sanguinis	2	0	0	0	0	1	2	1	6
Bacteria;Bacteria_none;Mycoplasmatota;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Ureaplasma;Ureaplasma urealyticum	0	3	0	0	0	2	0	1	6
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes finegoldii	0	0	0	2	0	0	0	4	6
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Candidatus Nanopelagicales;Candidatus Nanopelagicaceae;Candidatus Planktophila;Candidatus Planktophila vernalis	0	0	0	0	0	0	0	6	6
Bacteria;Bacteria_none;Bacillota;Bacillota_Incertae_sedis;Bacillota_Incertae_sedis_Incertae_sedis;Bacillota_Incertae_sedis_Incertae_sedis_Incertae_sedis;Ndongobacter;Ndongobacter massiliensis	0	0	0	2	0	0	0	4	6
Bacteria;Bacteria_none;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium perfringens	0	0	0	0	0	0	0	6	6
Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillales_Incertae_sedis;Gemella;Gemella sanguinis	1	0	0	1	2	0	0	2	6
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;Coprobacter secundus	0	0	0	0	0	0	0	6	6
